30.000000	5.47683932e+02	2.73853000e+00
27.000000	6.06638543e+02	2.78293000e+00
25.000000	6.53551777e+02	2.81528000e+00
22.000000	7.40696001e+02	2.86964000e+00
20.000000	8.13223650e+02	2.91021000e+00
19.000000	8.55598471e+02	2.93227000e+00
18.000000	9.03067057e+02	2.95572000e+00
17.000000	9.66718434e+02	2.98530000e+00
16.000000	1.01627209e+03	3.00701000e+00
15.000000	1.08500065e+03	3.03543000e+00
14.000000	1.16452817e+03	3.06615000e+00
13.000000	1.25744790e+03	3.09949000e+00
12.000000	1.36766584e+03	3.13598000e+00
11.000000	1.50061748e+03	3.17627000e+00
10.500000	1.57713910e+03	3.19787000e+00
10.000000	1.66440879e+03	3.22126000e+00
9.500000	1.76148926e+03	3.24588000e+00
9.000000	1.87145763e+03	3.27218000e+00
8.500000	1.99710087e+03	3.30040000e+00
8.000000	2.14205195e+03	3.33083000e+00
7.500000	2.31126637e+03	3.36385000e+00
7.000000	2.51148160e+03	3.39993000e+00
6.500000	2.75207332e+03	3.43966000e+00
6.000000	3.04691262e+03	3.48386000e+00
5.500000	3.41641012e+03	3.53357000e+00
5.000000	3.89322945e+03	3.59031000e+00
4.000000	5.42312981e+03	3.73425000e+00
2.000000	2.01706549e+04	4.30472000e+00
